Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw
3.57471,0,34,26,21192,18598,8680,7837,5947,9354,1896,3404,-372|-379|-388|-397|-401|-403|-397|-382|-381|-381|-379|-375|-363|-356|-353|-344|-330|-315|-308|-306|-301|-292|-270|-246|-233|-222|-205|-193|-171|-140|-123|-122
3.6087,0,34,26,21192,18598,8680,7837,5947,9354,1896,3404,
3.64307,0,34,26,21192,18598,8680,7837,5947,9354,1896,3404,-109|-90|-57|-20|1|29|71|106|132|160|192|227|256|278|294|299|295|285|276|260|244|232|229|230|226|215|211|210|194|170|162|154
3.67737,0,34,26,21192,18598,8680,7837,5947,9354,1896,3404,
3.71167,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,130|100|87|93|89|54|8|-12|0|20|18|-2|-25|-46|-52|-41|-43|-58|-85|-101|-100|-89|-90|-115|-140|-145|-125
3.74603,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
3.77979,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,-106|-109|-134|-140|-126|-118|-123|-129|-123|-114|-117|-134|-146|-130|-91|-66
3.81348,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
3.84784,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,-60|-73|-83|-73|-58|-60|-78|-94|-91|-70|-56|-61|-81|-87|-76|-69|-57|-40|-29|-37|-53|-66|-66|-51|-29|-20|-28|-45|-52|-41|-27
3.88196,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
3.91626,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,-30|-49|-66|-70|-72|-62|-53|-52|-59|-77|-92|-90|-76|-61|-55|-61|-71|-72|-65|-50|-37|-35|-41|-49|-45|-41|-35|-28|-25|-18|-9|4
3.94989,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
3.98425,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,22|33|29|34|34|25|24|32|39|41|36|32|32|35|38|42|53|64|64|56|43|33|34|45|57|61|66|68|82|88|83|81
4.01782,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.05212,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.08649,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,80|80|83|86|88|91|86|73|69|68|76|91|100|89|84|80|70|69|65|61|61|61|68|74|82|91|100|98|88|87|85|81
4.12042,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.15479,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,75|80|90|97|96|91|88|86|80|72|72|74|76|81|85|81|74|76|74|67|59|58|70|97|114|118|122|122|115|99|85
4.18909,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.22327,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,75|73|72|77|91|103|100|86|76|76|80|81|80|70|66|70|80|87|87|77|76|85|97|99|86|73|64|58|69|75|75|68
4.25763,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.29193,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,59|58|55|50|48|55|73|96|104|100|92|91|86|76|61|41|22|21|33|32|24|27|34|40|44|37|22|16|19|32|40|39
4.32568,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.35968,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,38|53|64|56|45|53|60|66|66|59|57|58|55|56|59|65
4.39368,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.42798,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,67|69|68|74|82|83|76|72|74|75|71|61|56|50|40|43
4.46234,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.4964,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,58|66|66|69|73|65|55|51|51|58|68|73|80|77|74|77|83|82|69|59|54|52|55|58|54|50|37|25|18|13|18
4.53052,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.56494,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,34|58|80|96|105|106|105|105|105|97|74|57|54|60|71|72|65|54|48|48|48|48|54|66|73|71|60|58|60|57|44|40
4.59912,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.63275,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,48|54|56|51|36|23|16|10|20|29|38|37|33|28|28|26|22|23|24|33|40|38|23|16|9|-2|-17|-26|-24|-12|-6|-7
4.66711,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.70135,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,-12|-18|16|11|9|5|1|-1|1|3|5|6|8|12|18|22|20|8|5|18|36|49|53|50|41|32|24|16|6|-4|-3
4.73553,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.7699,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.80402,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,2|9|21|36|40|36|22|11|4|3|22|50|64|60|58|65|70|76|77|71|58|49|40|29|27|36|51|58|48|22|8|19
4.83789,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.87134,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,40|59|60|56|56|58|58|58|58|64|67|69|60|50|37|27|22|16|8|11|17|2|-21|-22|-8|5|6|11|21|24|22|12
4.90546,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
4.93982,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,12|28|53|64|67|67|73|86|97|86|60|43|37|37|38|41|33|11|-1|2|7|6|7|23|54|97|134|146|138|130|144
4.97412,0,40,29,160830,73409,32527,16287,54870,21266,3420,1839,
5.00854,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,164|167|151|130|122|136|150|153|153|151|152|155|155|153|147|138|124|121|132|134|117|90|74|74|76|69|51|27
5.04254,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.07684,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,2|-26|-40|-27|-8|-2|-11|-23|-26|-33|-44|-59|-69|-73|-84|-87|-75|-60|-41|-30|-27|-33|-29|-11|3|4|-2|-2|6|9|11
5.1109,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.1452,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,17|16|-4|-18|-11|5|10|5|-3|-2|-2|-8|-8|3|10|18|24|28|22|18|16|11|9|8|2|-1|8|9|0|-8|-4|-3
5.17957,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.21313,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,-12|-23|-19|-3|22|36|27|17|12|25|44|55|48|42|45|60|75|86|89|85|75|69|67|64|51|36|20|7|5|18|35|40
5.2475,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.28131,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,42|39|28|25|29|28|21|16|20|28|39|48|40|28|23|26|39|49|42|32|23|26|43|55|56|51|44|50|57|66|67|65
5.31512,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.34943,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.38287,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,60|57|54|48|38|38|49|58|67|71|69|61|54|49|49|55|66|84|92|89|89|102|100|88|83|85|86|82|74|73|65
5.41718,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.45074,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,48|35|24|26|37|35|24|22|28|34|32|28|40|50|53|54|50|39|37|40|53|70|83|86|89|87|81|76|74|70|69|66
5.48462,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.51898,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,56|57|60|53|50|57|69|69|72|85|87|83|88|96|92|88|85|84|80|74|81|81|75|66|42|12|0|1|9|21|19|9
5.55286,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.58728,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,0|-5|-1|10|25|36|42|49|55|59|65|72|91|105|101|100|125|177|226|263|282|275|247|219|195|166|124|88|67|59|57|60
5.62073,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.65479,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,73|75|64|52|37|28|43|50|48|43|32|12|-1|-8|-11|-17|-13|-9|-10|-13|-18|-18|-33|-37|-26|-20|-12|-11|-17|-21|-20
5.6889,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.72223,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,-18|-10|-10|-13|-5|7|16|19|20|18|10|5|6|5|-1|-6|-12|-19|-13|-8|-2|5|9|10|8|8|13|6|-8|-9|-3|-2
5.75604,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.79034,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,4|13|22|37|44|35|21|21|32|35|32|26|22|17|20|34|44|50|49|43|50|52|43|35|26|18|11|17|29|49|56|50
5.82379,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.85815,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,40|41|44|52|58|61|65|65|56|49|54|58|50|34|25|32
5.89185,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,41|40|27|25|34|40|38|27|22|36|54|70|73|60|40|29
5.9259,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
5.95984,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,33|32|21|11|6|5|-3|-21|-34|-28|-11|6|23|32|35|43|53|44|36|39|45|48|43|43|48|49|42|34|27|32|32
5.9942,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
6.02838,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,27|34|43|38|25|6|-5|-2|8|6|-1|2|11|22|27|25|23|34|50|59|61|60|60|59|55|50|41|28|32|36|41|40
6.06219,0,57,53,170471,36166,9705,5959,13788,10135,2646,3120,
